nThreads,tPop,tQuad,tDiff,tSoma,tTotal
2,4.333054,2.993895,1.229207,0.761387,9.383206
2,4.322111,2.285845,1.243733,0.799991,8.727422
2,4.778807,1.976978,1.026683,0.812802,8.652714
2,4.429378,2.106249,1.104087,0.784641,8.478824
2,4.395548,2.427348,0.987871,0.700429,8.568385
2,4.627229,2.250442,1.224598,0.839087,8.991394
2,4.901222,2.555556,1.149841,0.770233,9.435160
2,4.281465,2.579987,1.375348,0.747507,9.049689
2,4.482270,2.008852,1.037763,0.735385,8.327783
2,4.509604,2.447307,1.104317,0.749362,8.863879
2,4.162252,2.291977,1.185428,0.756513,8.448140
2,4.320328,2.184073,1.171697,0.787895,8.529225
4,2.584448,1.313025,0.640589,0.388223,4.980867
4,2.583560,1.202208,0.647912,0.430722,4.914963
4,2.521749,1.361289,0.720334,0.390836,5.053108
4,2.222162,1.478266,0.566231,0.414204,4.742178
4,2.278848,1.279279,0.686877,0.413188,4.709279
4,2.486242,1.413332,0.787404,0.432760,5.175193
4,2.697832,1.229310,0.672718,0.402241,5.074472
4,2.548410,1.321815,0.634247,0.387063,4.948277
4,2.589840,1.378407,0.666211,0.395944,5.080900
4,2.277688,1.602069,0.731979,0.399489,5.062624
4,2.334411,1.158687,0.595014,0.415080,4.558262
4,2.531704,1.201578,0.674992,0.406823,4.867621
6,1.577675,0.840995,0.500555,0.279084,3.249427
6,2.009653,0.908452,0.512846,0.291097,3.776092
6,1.625745,0.897669,0.489273,0.291911,3.360028
6,1.566854,0.939466,0.481059,0.303146,3.342758
6,1.618096,0.836271,0.465509,0.286392,3.261906
6,1.930962,0.893240,0.493402,0.284708,3.653996
6,1.635905,0.895551,0.478407,0.319476,3.385553
6,1.607820,0.850110,0.457793,0.315117,3.281994
6,1.615348,0.903634,0.466958,0.276593,3.313210
6,1.597372,0.861359,0.479827,0.276518,3.264857
6,1.581953,0.863347,0.464070,0.304342,3.264151
6,1.589572,0.856316,0.470782,0.301877,3.268291
8,1.302004,0.721275,0.437107,0.221152,2.729740
8,1.311447,0.746802,0.443838,0.235828,2.788524
8,1.315276,0.733650,0.443358,0.222848,2.765080
8,1.333656,0.721187,0.454671,0.247415,2.806176
8,1.292506,0.751508,0.438333,0.224500,2.756086
8,1.285553,0.717297,0.435793,0.251043,2.740764
8,1.285970,0.722337,0.436712,0.237567,2.732611
8,1.340174,0.743061,0.440173,0.236444,2.810715
8,1.312456,0.750382,0.435493,0.222436,2.771916
8,1.313999,0.756887,0.453735,0.225656,2.802969
8,1.294289,0.730911,0.452918,0.245478,2.781767
8,1.299417,0.745656,0.440824,0.239629,2.779959
10,1.209028,0.769476,0.463521,0.213625,2.710624
10,1.521659,0.722780,0.460498,0.208362,2.972749
10,1.123454,0.687741,0.457605,0.205306,2.525349
10,1.122084,0.669147,0.464567,0.213400,2.533842
10,1.135294,0.674568,0.453024,0.205317,2.518275
10,1.127224,0.695317,0.460241,0.200061,2.532181
10,1.133828,0.694350,0.467233,0.206408,2.551523
10,1.110527,0.688204,0.458103,0.209890,2.516279
10,1.135214,0.700621,0.458393,0.202669,2.545958
10,1.127619,0.693941,0.458146,0.196103,2.525648
10,1.119795,0.674600,0.462408,0.195700,2.503002
10,1.137140,0.684679,0.459860,0.200585,2.531959
12,1.000248,0.651450,0.485144,0.179884,2.368459
12,1.008260,0.639641,0.475480,0.178968,2.354225
12,1.005539,0.638574,0.474172,0.184193,2.352166
12,1.000931,0.643885,0.483956,0.179550,2.357211
12,1.012047,0.642232,0.483085,0.180141,2.367249
12,1.009829,0.649550,0.475014,0.181577,2.365723
12,1.006621,0.657632,0.484758,0.178900,2.376082
12,1.008564,0.639826,0.474043,0.182642,2.356854
12,1.004895,0.648226,0.480354,0.177086,2.360400
12,1.010468,0.643521,0.483806,0.181110,2.369670
12,1.025253,0.656367,0.476933,0.186022,2.394155
12,1.023133,0.654698,0.478558,0.175745,2.386226
14,0.912290,0.645425,0.492434,0.162741,2.264268
14,0.918851,0.643887,0.487556,0.162015,2.262136
14,0.929581,0.638132,0.492952,0.162772,2.273842
14,0.919378,0.639436,0.491169,0.162989,2.262943
14,0.915086,0.667234,0.489589,0.163309,2.288200
14,0.933400,0.639117,0.490377,0.162926,2.276376
14,0.923755,0.641006,0.491482,0.161598,2.273455
14,0.921852,0.639176,0.489199,0.165800,2.269669
14,0.912848,0.647504,0.492109,0.160552,2.263833
14,0.917030,0.645298,0.490395,0.163166,2.264874
14,0.914373,0.640231,0.489909,0.161525,2.256700
14,0.925446,0.647463,0.487004,0.161897,2.272927
16,0.887167,0.685415,0.501635,0.156822,2.280082
16,0.890579,0.666705,0.497767,0.152570,2.257346
16,0.887773,0.668421,0.512439,0.166181,2.284934
16,0.921184,0.676546,0.498721,0.147203,2.296862
16,0.909263,0.677018,0.498074,0.150860,2.288817
16,0.880662,0.672120,0.500039,0.145145,2.247319
16,0.893828,0.672945,0.498529,0.148944,2.268998
16,0.861196,0.670795,0.498771,0.175518,2.260415
16,0.870064,0.671992,0.498188,0.145493,2.238795
16,0.884868,0.673363,0.498885,0.145166,2.252076
16,0.868426,0.670089,0.497376,0.145184,2.230399
16,0.882797,0.670586,0.499109,0.148832,2.251280
