tPop,tQuad,tDiff,tSoma,tTotal
9.928742,2.810803,1.179881,0.000000,13.995029
10.824384,3.245299,0.651901,0.000000,14.816270
9.282677,2.612816,1.305348,0.000000,13.289783
9.508349,1.503722,1.100075,0.000000,12.192785
10.191547,1.587328,0.955218,0.000000,12.807062
9.621550,1.592020,1.002550,0.000000,12.280125
10.303312,1.576868,1.052991,0.000000,13.002735
9.356168,1.855430,0.942099,0.000001,12.217694
9.934879,1.566409,0.985659,0.000000,12.541071
10.162055,1.578002,0.845671,0.000000,12.638585
9.348751,1.800632,0.936321,0.000000,12.159682
10.164010,1.592543,0.944422,0.000000,12.756049
